iter	Passed	Remaining
769	4648	4406
770	4653	4400
771	4659	4393
772	4665	4388
773	4671	4381
774	4677	4375
775	4682	4368
776	4688	4363
777	4694	4356
778	4701	4351
779	4706	4344
780	4711	4337
781	4717	4330
782	4723	4325
783	4729	4318
784	4734	4312
785	4740	4306
786	4747	4300
787	4753	4294
788	4761	4290
789	4767	4284
790	4773	4278
791	4781	4274
792	4789	4270
793	4795	4264
794	4803	4259
795	4809	4253
796	4815	4247
797	4821	4241
798	4827	4235
799	4834	4229
800	4838	4222
801	4844	4216
802	4850	4209
803	4856	4204
804	4862	4198
805	4870	4193
806	4876	4187
807	4882	4181
808	4887	4174
809	4892	4167
810	4898	4161
811	4903	4154
812	4909	4148
813	4914	4141
814	4919	4134
815	4925	4128
816	4935	4126
817	4941	4120
818	4947	4113
819	4953	4107
820	4957	4100
821	4962	4093
822	4968	4087
823	4974	4080
824	4980	4074
825	4985	4068
826	4991	4061
827	4996	4055
828	5002	4048
829	5007	4042
830	5013	4035
831	5018	4029
832	5023	4022
833	5029	4016
834	5034	4009
835	5040	4003
836	5046	3997
837	5051	3990
838	5056	3983
839	5062	3977
840	5068	3971
841	5073	3965
842	5079	3958
843	5085	3952
844	5091	3946
845	5096	3939
846	5102	3933
847	5107	3927
848	5113	3921
849	5119	3914
850	5124	3908
851	5130	3901
852	5136	3895
853	5142	3889
854	5147	3882
855	5153	3877
856	5160	3871
857	5165	3865
858	5171	3859
859	5178	3853
860	5184	3847
861	5189	3841
862	5195	3835
863	5202	3829
864	5208	3823
865	5214	3817
866	5220	3811
867	5226	3805
868	5232	3799
869	5238	3793
870	5245	3788
871	5251	3782
872	5256	3775
873	5262	3769
874	5268	3763
875	5274	3757
876	5279	3750
877	5285	3744
878	5292	3739
879	5298	3732
880	5303	3726
881	5309	3720
882	5314	3713
883	5319	3707
884	5326	3701
885	5331	3694
886	5337	3688
887	5342	3682
888	5348	3676
889	5354	3669
890	5360	3663
891	5366	3657
892	5371	3651
893	5377	3645
894	5383	3638
895	5388	3632
896	5394	3626
897	5400	3620
898	5405	3613
899	5411	3607
900	5417	3601
901	5423	3595
902	5428	3588
903	5434	3583
904	5439	3576
905	5445	3570
906	5450	3563
907	5456	3557
908	5462	3551
909	5468	3545
910	5474	3539
911	5480	3533
912	5486	3527
913	5492	3521
914	5497	3514
915	5503	3508
916	5508	3502
917	5514	3495
918	5519	3489
919	5525	3483
920	5531	3477
921	5537	3471
922	5543	3465
923	5549	3459
924	5554	3452
925	5560	3446
926	5566	3440
927	5572	3435
928	5578	3428
929	5584	3422
930	5590	3416
931	5596	3410
932	5602	3404
933	5607	3398
934	5613	3392
935	5619	3386
936	5626	3380
937	5633	3375
938	5639	3369
939	5644	3362
940	5651	3356
941	5657	3351
942	5663	3345
943	5671	3340
944	5676	3333
945	5682	3327
946	5688	3321
947	5693	3315
948	5698	3308
949	5704	3302
950	5710	3296
951	5716	3290
952	5721	3284
953	5728	3278
954	5734	3272
955	5741	3267
956	5748	3261
957	5753	3255
958	5760	3249
959	5765	3243
960	5770	3236
961	5776	3230
962	5781	3224
963	5788	3218
964	5795	3213
965	5800	3206
966	5806	3200
967	5812	3194
968	5818	3188
969	5825	3183
970	5831	3177
971	5838	3171
972	5844	3165
973	5850	3159
974	5857	3154
975	5864	3148
976	5870	3142
977	5877	3136
978	5882	3130
979	5888	3124
980	5894	3118
981	5899	3112
982	5906	3106
983	5914	3101
984	5919	3095
985	5925	3089
986	5931	3083
987	5938	3077
988	5946	3072
989	5953	3066
990	5959	3061
991	5966	3055
992	5972	3049
993	5979	3043
994	5985	3037
995	5991	3031
996	5997	3025
997	6002	3019
998	6008	3013
999	6013	3006
1000	6019	3000
1001	6026	2995
1002	6033	2989
1003	6039	2983
1004	6045	2977
1005	6051	2971
1006	6057	2965
1007	6063	2959
1008	6070	2953
1009	6075	2947
1010	6081	2941
1011	6087	2935
1012	6092	2929
1013	6097	2922
1014	6104	2916
1015	6110	2910
1016	6116	2904
1017	6121	2898
1018	6126	2892
1019	6133	2886
1020	6139	2880
1021	6145	2874
1022	6151	2868
1023	6156	2862
1024	6162	2855
1025	6168	2849
1026	6174	2843
1027	6179	2837
1028	6185	2831
1029	6191	2825
1030	6196	2818
1031	6202	2812
1032	6207	2806
1033	6214	2800
1034	6220	2794
1035	6226	2788
1036	6233	2783
1037	6238	2776
1038	6244	2770
1039	6250	2764
1040	6255	2758
1041	6261	2752
1042	6267	2745
1043	6273	2740
1044	6280	2734
1045	6285	2728
1046	6291	2722
1047	6297	2716
1048	6303	2709
1049	6309	2704
1050	6318	2699
1051	6323	2693
1052	6329	2687
1053	6335	2680
1054	6341	2674
1055	6347	2668
1056	6352	2662
1057	6359	2656
1058	6364	2650
1059	6370	2644
1060	6376	2638
1061	6381	2631
1062	6387	2625
1063	6393	2619
1064	6398	2613
1065	6404	2607
1066	6410	2601
1067	6417	2595
1068	6422	2589
1069	6428	2583
1070	6435	2577
1071	6440	2571
1072	6447	2565
1073	6452	2559
1074	6460	2554
1075	6467	2548
1076	6473	2542
1077	6479	2536
1078	6485	2530
1079	6490	2524
1080	6496	2518
1081	6503	2512
1082	6509	2506
1083	6515	2500
1084	6520	2494
1085	6525	2487
1086	6531	2481
1087	6536	2475
1088	6542	2469
1089	6547	2462
1090	6554	2457
1091	6559	2450
1092	6565	2444
1093	6571	2438
1094	6577	2432
1095	6583	2426
1096	6589	2420
1097	6595	2414
1098	6600	2408
1099	6606	2402
1100	6611	2396
1101	6616	2389
1102	6623	2383
1103	6629	2377
1104	6635	2372
1105	6640	2365
1106	6646	2359
1107	6652	2353
1108	6657	2347
1109	6664	2341
1110	6671	2335
1111	6677	2329
1112	6683	2324
1113	6691	2318
1114	6698	2312
1115	6703	2306
1116	6709	2300
1117	6715	2294
1118	6720	2288
1119	6726	2282
1120	6733	2276
1121	6738	2270
1122	6744	2264
1123	6750	2258
1124	6755	2251
1125	6761	2245
1126	6766	2239
1127	6773	2233
1128	6779	2227
1129	6785	2221
1130	6791	2215
1131	6796	2209
1132	6802	2203
1133	6808	2197
