iter	Accuracy	Logloss
172	0.8266228431	0.3707779221
173	0.8274445357	0.3706179227
174	0.8276088743	0.3702931155
175	0.8274445357	0.3701148272
176	0.8274445357	0.3700040584
177	0.8272801972	0.369838007
178	0.8276088743	0.369537011
179	0.8274445357	0.3693015218
180	0.8277732128	0.3690330918
181	0.8292522597	0.368676944
182	0.8295809367	0.3685202843
183	0.8297452753	0.3682705195
184	0.8295809367	0.3682102623
185	0.8297452753	0.367676918
186	0.8294165982	0.3675257217
187	0.8294165982	0.3674718754
188	0.830566968	0.3673254577
189	0.8304026294	0.367217838
190	0.8307313065	0.3670406647
191	0.830895645	0.3664152568
192	0.830895645	0.3663920343
193	0.830895645	0.3660437795
194	0.8318816763	0.3657186956
195	0.8317173377	0.3655818563
196	0.8317173377	0.3654426732
197	0.8323746919	0.3652281231
198	0.8320460148	0.3651000992
199	0.8318816763	0.3648453814
200	0.8318816763	0.3647823391
201	0.8315529992	0.3644597272
202	0.8317173377	0.3644446682
203	0.8325390304	0.3641343921
204	0.8323746919	0.363648691
205	0.8327033689	0.3632529873
206	0.8328677075	0.3630687419
207	0.8328677075	0.3629744474
208	0.8327033689	0.3628664835
209	0.8325390304	0.3626029317
210	0.8325390304	0.3625359584
211	0.8327033689	0.3623982921
212	0.8327033689	0.3622027893
213	0.8333607231	0.3620529196
214	0.8333607231	0.3620229777
215	0.8345110929	0.3615370012
216	0.8346754314	0.3612894009
217	0.8345110929	0.3610962705
218	0.835168447	0.3608750373
219	0.8358258012	0.3605508837
220	0.8356614626	0.3601996802
221	0.8358258012	0.3599461974
222	0.8361544782	0.3595261285
223	0.8361544782	0.3593782986
224	0.8369761709	0.3591590115
225	0.8366474938	0.3590318919
226	0.8369761709	0.3587374703
227	0.837304848	0.3585587221
228	0.837304848	0.3583299162
229	0.837304848	0.3581431745
230	0.8377978636	0.3580511835
231	0.8384552177	0.3575211357
232	0.8387838948	0.3573071825
233	0.8386195563	0.3570963806
234	0.839441249	0.3567944701
235	0.839769926	0.3566548792
236	0.839441249	0.3564303729
237	0.8392769104	0.3561944674
238	0.8389482334	0.3557299365
239	0.8399342646	0.3552767537
240	0.839769926	0.3550807078
241	0.8399342646	0.3549329079
242	0.8402629417	0.35472241
243	0.8399342646	0.354549024
244	0.8396055875	0.3542766467
245	0.8396055875	0.353974564
246	0.8396055875	0.3537260418
247	0.8396055875	0.3537161703
248	0.839769926	0.3536239015
249	0.8405916187	0.353345234
250	0.8407559573	0.353283066
251	0.8407559573	0.3528154878
252	0.8407559573	0.3525960221
253	0.8409202958	0.3522806791
254	0.8407559573	0.3517262441
255	0.8405916187	0.3516125913
256	0.8405916187	0.3515871269
257	0.8407559573	0.351297957
258	0.8410846343	0.3510875995
259	0.8412489729	0.3507726236
260	0.84157765	0.3507491294
261	0.8417419885	0.3506287879
262	0.8425636812	0.3504856405
263	0.841906327	0.3502308142
264	0.8423993426	0.3499001321
265	0.8428923583	0.3495664943
266	0.8430566968	0.3493039628
267	0.8430566968	0.3490981383
268	0.8433853739	0.3488113826
269	0.8433853739	0.3486659709
270	0.8437140509	0.348535142
271	0.8435497124	0.3483378112
272	0.8437140509	0.3479791757
273	0.8437140509	0.3479698876
274	0.8432210353	0.3475780159
275	0.8427280197	0.347319127
276	0.8425636812	0.3470198536
277	0.8438783895	0.3465120378
278	0.8432210353	0.3461383404
279	0.8442070666	0.3458027745
280	0.8433853739	0.3455660949
281	0.8438783895	0.3454103414
282	0.8451930978	0.3451735224
283	0.8451930978	0.3449452148
284	0.8451930978	0.3447166203
285	0.8455217749	0.3445550354
286	0.8463434675	0.3443503649
287	0.846179129	0.3439291168
288	0.846179129	0.3439222523
289	0.8456861134	0.3437194815
290	0.8465078061	0.3436075831
291	0.846179129	0.3434096937
292	0.8471651602	0.342950037
293	0.8471651602	0.342642309
